Id,DateTime,Title,Artist,Likes,Comments,Streams,Position
1686550819534,2023-06-12 06:20:22,Baby Gang - Napoletano [Official Lyric Video],Baby Gang,28292,656,1682994,31
1686550820082,2023-06-12 06:20:22,Tedua - Volgare (feat. Lazza) [Official Lyrics Video],Tedua,11033,202,669549,32
1686550825545,2023-06-12 06:20:22,QUEVEDO || BZRP Music Sessions #52,QUEVEDO || BZRP Music Sessions #52,5593723,155681,533346275,33
1686550818747,2023-06-12 06:20:22,RVFV & Anitta & Sfera Ebbasta - CAPITÁN,RVFV & Anitta & Sfera Ebbasta,87625,8895,2864547,34
1686550819732,2023-06-12 06:20:22,Rhove - Whip Whip,Rhove,45970,1114,2234180,35
1686550825726,2023-06-12 06:20:22,Pinguini Tattici Nucleari - Rubami la Notte (Official Video),Pinguini Tattici Nucleari,13595,277,1203903,36
1686550827298,2023-06-12 06:20:22,Noizy x Stresi - Medalioni (Official Video),Noizy x Stresi,108543,4753,14538470,37
1686550822645,2023-06-12 06:20:22,Rosa Chemical- Bdope - MADE IN ITALY,Rosa Chemical- Bdope,129010,4124,20663397,38
1686550828504,2023-06-12 06:20:22,Tedua - Intro La Divina Commedia (Official Video),Tedua,81096,3502,1553990,39
1686550826863,2023-06-12 06:20:22,Fred De Palma - Extasi (Official Video),Fred De Palma,110697,1581,39052457,40
1686550822608,2023-06-12 06:20:22,Emis Killa- Sfera Ebbasta - ON FIRE (paid in full),Emis Killa- Sfera Ebbasta,24434,559,1996554,41
1686550826011,2023-06-12 06:20:22,Tedua - Diluvio A Luglio (feat. Marracash) [Official Lyrics Video],Tedua,10415,216,498724,42
1686550820910,2023-06-12 06:20:22,The Kolors - ITALODISCO (Lyric Video),The Kolors,9621,405,1352526,43
1686550822237,2023-06-12 06:20:22,Black Eyed Peas- Daddy Yankee - BAILAR CONTIGO (Official Music Video),Black Eyed Peas- Daddy Yankee,173302,11142,26111836,44
1686550827521,2023-06-12 06:20:22,Tedua - Bagagli (Improvvisazione) [Official Lyrics Video],Tedua,10678,275,482865,45
1686550821139,2023-06-12 06:20:22,Medy feat. Capo Plaza - Arai (Official Video),Medy feat. Capo Plaza,33626,480,5644700,46
1686550826802,2023-06-12 06:20:22,Emma - MEZZO MONDO,Emma,13557,865,1504726,47
1686550821566,2023-06-12 06:20:22,wax - Anni 70 (Official Visual Video),wax,12539,470,1278801,48
1686550826449,2023-06-12 06:20:22,Tedua - Anime Libere (feat. Rkomi- Bresh) [Official Lyrics Video],Tedua,8938,163,521375,49
1686550826203,2023-06-12 06:20:22,Luiz Ejlli - Përjetësisht (Lyric Video),Luiz Ejlli,88233,5329,4401276,50
1686552624753,2023-06-12 06:50:27,Annalisa - Mon Amour (Official Video),Annalisa,113116,5978,23862782,1
1686552626080,2023-06-12 06:50:27,Angelina Mango - Ci pensiamo domani (Official Lyric Video),Angelina Mango,60510,1670,9153991,2
